case_id,description_complete
1954-10-09227,"[Forme] nan | [Forme 2]  Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09227,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Phénomène | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09227,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09227,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09227,"[Forme] nan | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09227,"[Forme] nan | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09243,"[Forme] nan | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] ""Le mercredi 27 octobre 1954 au camp de Mailly (commune de Mailly-le-Camp) deux personnes dont un colonel observent vers 17h45 un segment très brillant se détachant sur le fond bleu-vert du ciel pur """"légèrement au Nord par rapport au soleil couchant"""" (2 à 3 minutes après le coucher du soleil) Ce segment semblable à du métal brillant est incliné de 30° par rapport à la verticale puis devient brusquement ponctuel sur place durant 3 secondes avant de disparaitre"
1954-10-09244,"[Forme] nan | [Forme 2]  Engin | [Couleur] Orangé, feu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Il s'agit d'un « engin » en forme de cigare dont l'avant semble plus large que l'arrière de 8 m de long et 0,80-1 m de diamètre sans hublot ou porte Il apparaît alors immobile en forme de sphère d'un rayonnement plus intense et plus jaune Ce qu'il décrit n'est pas très étrange puisque ne s'agit que d'un point lumineux observé d'assez loin"
1954-10-09244,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Objet | [Couleur] Jaune, Ambre | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] Il s'agit d'un « engin » en forme de cigare dont l'avant semble plus large que l'arrière de 8 m de long et 0,80-1 m de diamètre sans hublot ou porte Il apparaît alors immobile en forme de sphère d'un rayonnement plus intense et plus jaune Ce qu'il décrit n'est pas très étrange puisque ne s'agit que d'un point lumineux observé d'assez loin"
1954-11-00030,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Noir | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Le 20 novembre 1954 entre minuit 30 et 3h30 plusieurs personnes vont apercevoir un phénomène lumineux dans le ciel Le PAN est tantôt brillant tantôt sombre avec un halo Cette longue observation d'un gros point lumineux dans le ciel fait d'abord penser à un phénomène astronomique : on constate la présence de l'étoile Sirius au SE à minuit trente se déplaçant ensuite vers le Sud"
